Id,Note Id,Related to Id,Related to Type
14108950,70014832398,70066273238,Contact
14114425,70014837875,70065906130,Contact
14114760,70014838210,70066424432,Contact
14139363,70014862825,70066273268,Contact
14139573,70014863036,70066273187,Contact
14139827,70014863290,70065906142,Contact
14156945,70014880424,70066273194,Contact
14157302,70014880782,70066541200,Contact
14157538,70014881020,70066541193,Contact
14157935,70014881417,70066541196,Contact
14158060,70014881542,70066541204,Contact
14187322,70014910816,70066581123,Contact
14204715,70014928207,70066541209,Contact
14213779,70014937272,70066541196,Contact
14214329,70014937820,70066541204,Contact
14215699,70014939190,70066541207,Contact
14216133,70014939625,70066541208,Contact
14217023,70014940515,70066273189,Contact
14217609,70014941101,70066541200,Contact
14219001,70014942493,70065906146,Contact
14219270,70014942762,70065906144,Contact
14225001,70014948496,70066273193,Contact
14225452,70014948947,70065906151,Contact
14225751,70014949246,70066273184,Contact
14225931,70014949427,70066273209,Contact
14226107,70014949603,70065906144,Contact
14226211,70014949707,70066273189,Contact
14226449,70014949945,70066273197,Contact
14226486,70014949982,70066666449,Contact
14226524,70014950020,70066273220,Contact
14226740,70014950236,70066273228,Contact
14227002,70014950498,70066273258,Contact
14227116,70014950612,70066273277,Contact
14227317,70014950813,70066666444,Contact
14227423,70014950919,70066541193,Contact
14227560,70014951057,70066541207,Contact
14227788,70014951286,70064994392,Contact
14228072,70014951570,70065632844,Contact
14228086,70014951584,70065906153,Contact
14228488,70014951986,70066273235,Contact
14228672,70014952170,70065632870,Contact
14229361,70014952859,70064994435,Contact
14229496,70014952994,70064411806,Contact
14230401,70014953900,70065906138,Contact
14230925,70014954425,70066666430,Contact
14233316,70014956817,70066666445,Contact
14233759,70014957262,70066666426,Contact
14233852,70014957355,70066666433,Contact
14234544,70014958047,70066666443,Contact
14234971,70014958474,70066666439,Contact
14235590,70014959093,70066666440,Contact
14235611,70014959114,70066666442,Contact
14252001,70014975510,70066541194,Contact
14252218,70014975727,70066666428,Contact
14256781,70014980291,70066273189,Contact
14257009,70014980519,70066666445,Contact
14314172,70015037687,70066956101,Contact
14318946,70015042463,70066956081,Contact
14320399,70015043916,70066956078,Contact
14323590,70015047109,70066956088,Contact
14324023,70015047542,70066956099,Contact
14324130,70015047649,70066956077,Contact
14324573,70015048092,70066956080,Contact
14324758,70015048277,70066956083,Contact
14426242,70015149799,70067125316,Contact
14427648,70015151206,70067125319,Contact
14427711,70015151269,70067125319,Contact
14430593,70015154152,70067125321,Contact
14431341,70015154900,70066956077,Contact
14431579,70015155138,70066956088,Contact
14432636,70015156196,70066956084,Contact
14433215,70015156775,70066956087,Contact
14446541,70015170125,70066956091,Contact
14446658,70015170243,70066956095,Contact
14450242,70015173836,70066956100,Contact
14495801,70015219428,70064994425,Contact
14503202,70015226833,70067259391,Contact
14503374,70015227005,70067259395,Contact
14504130,70015227761,70067259384,Contact
14505327,70015228958,70066666445,Contact
14505443,70015229074,70066666433,Contact
14505597,70015229228,70066541207,Contact
14505669,70015229300,70065906144,Contact
14505807,70015229438,70066541205,Contact
14564477,70015288142,70067452706,Contact
14564547,70015288212,70067452705,Contact
14565893,70015289558,70066541200,Contact
14566113,70015289778,70066541204,Contact
14566237,70015289902,70066541208,Contact
14566361,70015290026,70065906144,Contact
14566449,70015290114,70066541207,Contact
14566558,70015290223,70066666433,Contact
14566854,70015290519,70067259395,Contact
14567127,70015290792,70067259391,Contact
14567810,70015291475,70066956077,Contact
14575082,70015298759,70066956095,Contact
14575214,70015298891,70066956091,Contact
14575379,70015299056,70066956087,Contact
14575605,70015299283,70066956084,Contact
14605176,70015328941,70066956078,Contact
14607017,70015330782,70067259387,Contact
14607723,70015331488,70067710371,Contact
14608502,70015332267,70067710363,Contact
14608746,70015332511,70067710359,Contact
14608870,70015332635,70066956091,Contact
14609098,70015332863,70066666433,Contact
14609328,70015333093,70066541208,Contact
14610866,70015334631,70067452706,Contact
14610952,70015334717,70066956083,Contact
14611173,70015334938,70066956099,Contact
14611232,70015334997,70066956088,Contact
14616091,70015339854,70066956103,Contact
14616351,70015340114,70066666442,Contact
14616489,70015340252,70066666440,Contact
14616650,70015340413,70066666439,Contact
14616830,70015340593,70066666443,Contact
14616898,70015340661,70066666426,Contact
14616989,70015340752,70066666430,Contact
